Var1,Var2,Var3,Var4a,Var4b,Var4c,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Ex.KLD Dryer
TF,15/02/2018,1,1,0,0,77.15,1.25,66.07,1.60,68.11,4.57,57.02,22.50,13.11,14.46
TF,15/02/2018,1,1,0,0,77.11,1.09,66.09,1.58,67.73,4.54,55.46,23.22,13.58,14.46
TFPM,31/08/2017,1,1,0,0,81.10,0.93,67.38,0.61,73.73,2.73,79.62,13.14,14.52,15.22
WFP,19/02/2018,1,1,0,0,76.92,0.88,66.24,1.48,67.38,4.89,45.63,20.79,13.49,14.67
WFP,19/02/2018,1,1,0,0,76.89,0.85,66.18,1.53,67.58,4.83,47.18,21.22,13.38,14.67
CRK,07/02/2018,1,1,0,0,77.81,1.32,65.35,0.71,68.89,3.25,70.71,17.69,12.87,14.68
CTL,08/08/2017,1,1,0,0,81.11,0.95,66.62,1.01,73.29,2.56,79.70,13.98,14.25,15.13
CTL,08/08/2017,1,1,0,0,81.01,0.96,66.78,0.94,72.94,2.61,81.96,13.20,13.32,15.13
TF,17/02/2018,0,1,0,0,77.01,0.67,66.12,1.52,66.98,4.37,52.33,24.28,12.93,14.37
TF,17/02/2018,0,1,0,0,76.91,0.76,65.91,1.53,67.38,4.90,50.38,22.90,13.31,14.37
TF,17/02/2018,0,1,0,0,76.88,0.77,66.16,1.51,67.34,4.86,49.46,22.58,13.22,14.37
TF,17/02/2018,0,0,0,1,80.00,16.88,66.16,13.94,72.68,4.75,65.38,20.72,13.59,14.37
TFPM,31/08/2017,0,1,0,0,81.10,0.93,67.38,0.61,73.73,2.73,79.62,13.14,14.56,15.19
TFPM,31/08/2017,0,1,0,0,81.07,0.93,67.41,0.57,74.01,3.61,81.76,13.35,13.46,15.19
TFPM,31/08/2017,0,0,1,0,81.13,22.45,67.43,18.65,73.78,3.31,82.78,12.77,14.21,15.19
WFP,20/02/2018,1,1,0,0,76.87,0.85,66.30,1.49,67.55,4.75,46.58,20.26,13.81,14.55
WFP,20/02/2018,1,0,1,0,76.68,14.58,65.84,12.62,67.39,5.31,42.90,21.23,13.55,14.55
CRK,08/02/2018,1,1,0,0,77.45,1.08,65.07,0.68,68.64,2.98,62.10,16.47,13.28,14.82
CTL,09/08/2017,1,1,0,0,80.92,0.98,67.07,0.67,72.63,2.52,85.38,10.34,13.59,15.11
CTL,09/08/2017,1,1,0,0,80.82,1.03,66.93,0.76,72.52,2.50,83.45,10.29,12.6,15.11
SFM,04/03/2018,1,1,0,0,76.89,0.94,66.10,1.90,67.08,5.91,34.95,18.97,14.45,14.43
SFM,04/03/2018,1,1,0,0,76.99,0.92,66.37,1.73,66.91,5.78,34.60,20.21,14.23,14.43
TF,20/02/2018,1,1,0,0,76.79,0.75,66.93,1.14,67.45,4.54,46.90,19.77,13.58,14.32
TF,20/02/2018,1,1,0,0,76.92,0.91,66.67,1.36,67.63,4.60,45.40,19.44,13.76,14.32
WFP,21/02/2018,1,1,0,0,76.69,21.66,65.78,18.65,67.69,4.82,47.08,21.39,13.41,14.63
CRK,08/02/2018,1,1,0,0,77.94,1.03,65.28,0.78,69.71,3.30,65.31,19.63,13.25,14.88
CTL,11/08/2017,0,1,0,0,80.61,1.04,66.88,0.76,72.05,2.45,83.21,9.20,13.1,15.12
CTL,11/08/2017,0,0,1,0,79.74,18.90,66.99,15.88,71.99,2.81,81.27,11.68,13.71,15.12
SFM,05/03/2018,1,1,0,0,77.12,0.92,66.68,1.59,66.77,5.77,34.64,21.36,13.9,14.33
SFM,05/03/2018,1,1,0,0,77.09,0.97,66.73,1.50,67.34,5.70,37.68,21.64,14.03,14.33
TFPM,07/09/2017,0,1,0,0,81.39,0.93,67.45,0.51,73.88,3.43,82.51,12.23,14.17,15.2
TFPM,07/09/2017,0,0,1,0,81.51,0.96,67.14,0.93,74.55,3.38,79.87,13.05,14.44,15.2
WFP,22/02/2018,1,1,0,0,76.68,23.50,65.48,20.12,67.80,4.84,47.34,21.49,13.82,14.93
CRK,09/02/2018,1,1,0,0,78.43,0.68,65.48,0.83,70.79,3.26,68.52,21.88,13.72,14.72
CRK,09/02/2018,1,0,0,1,79.75,16.05,66.19,13.28,72.67,5.32,59.41,21.28,13.28,14.72
CTL,12/08/2017,1,0,1,0,79.65,19.66,66.96,16.53,72.00,2.84,80.59,11.78,14.59,15.32
CTL,12/08/2017,1,0,1,0,79.71,18.89,66.97,15.88,72.05,2.89,80.71,12.12,14.6,15.32
TF,22/02/2018,1,1,0,0,77.02,0.97,65.89,1.46,67.15,5.07,42.07,18.61,13.72,14.64
WFP,24/02/2018,1,1,0,0,76.34,25.76,64.95,21.98,67.95,5.11,49.17,22.17,13.64,14.9
CRK,09/02/2018,1,1,0,0,78.10,1.03,65.43,1.02,70.45,3.32,65.95,20.80,13.21,14.79
CTL,22/08/2017,1,1,0,0,80.00,1.16,67.17,0.85,72.17,2.95,82.83,13.36,13.62,15.24
CTL,22/08/2017,1,1,0,0,79.52,1.28,67.41,0.77,72.08,2.75,83.54,11.69,13.81,15.24
CTL,22/08/2017,1,0,1,0,79.43,1.28,67.41,0.73,72.05,2.61,83.14,10.43,14.39,15.24
TF,23/02/2018,1,1,0,0,76.86,0.77,65.63,1.28,66.33,5.29,41.76,18.82,13.97,14.63
TFPM,15/09/2017,1,1,0,0,80.67,29.20,66.38,24.04,71.98,2.84,80.39,9.60,14.56,15.05
WFP,26/02/2018,1,1,0,0,76.18,0.49,64.88,1.87,67.37,5.64,44.93,21.67,12.84,14.86
CRK,10/02/2018,1,1,0,0,77.77,1.19,65.38,1.17,70.12,3.33,63.38,19.33,13.33,14.87
CTL,26/08/2017,1,1,0,0,79.28,1.26,67.45,0.63,72.05,2.47,82.17,8.17,14.42,15.25
CTL,26/08/2017,1,1,0,0,79.52,1.33,67.31,0.79,72.34,2.71,81.60,9.15,13.09,15.25
TF,23/02/2018,1,1,0,0,76.80,0.73,65.75,1.51,67.44,4.96,48.36,21.32,13.64,14.62
TFPM,15/09/2017,1,0,0,1,80.14,22.48,66.54,18.68,72.25,3.10,79.11,11.70,14.12,15.02
TFPM,15/09/2017,1,0,0,1,80.14,21.83,66.61,18.16,72.31,3.12,79.54,11.90,13.82,15.02
CRK,10/02/2018,1,1,0,0,78.43,1.66,65.47,1.05,69.69,3.62,59.86,20.62,13.22,14.84
CTL,28/08/2017,1,0,1,0,80.54,22.29,67.26,18.60,73.28,3.19,81.92,11.80,14.25,15.22
TF,23/02/2018,1,1,0,0,76.80,0.73,65.75,1.51,67.44,4.96,48.36,21.32,14.04,14.64
TF,23/02/2018,1,1,0,0,76.53,25.83,65.28,22.09,67.75,4.87,48.58,22.02,13.63,14.64
TFPM,18/09/2017,0,0,0,1,79.95,17.68,66.69,14.78,72.34,3.18,78.94,12.25,14.41,14.95
TFPM,18/09/2017,0,0,0,1,79.95,17.08,66.73,14.28,72.40,3.12,79.57,12.20,13.15,14.95
TFPM,18/09/2017,0,0,0,1,80.10,14.79,66.95,12.39,72.68,3.07,80.68,12.02,14.04,14.95
WFP,26/02/2018,1,1,0,0,76.18,0.49,64.88,1.87,67.37,5.64,44.93,21.67,13.29,14.92
WFP,26/02/2018,1,1,0,0,76.15,0.46,65.03,1.75,67.45,5.42,44.32,22.71,13.62,14.92
CRK,11/02/2018,1,1,0,0,79.10,1.79,65.56,0.90,69.26,3.84,56.33,21.25,13.47,14.81
CRK,11/02/2018,1,1,0,0,78.86,1.88,65.33,0.86,69.38,3.62,59.14,19.52,13.21,14.81
CTL,02/09/2017,1,1,0,0,80.99,30.20,67.43,25.14,73.92,3.54,83.48,12.53,13.87,15.26
CTL,02/09/2017,1,1,0,0,80.98,27.55,67.43,22.93,73.66,3.53,84.50,12.31,14.12,15.26
TF,24/02/2018,0,1,0,0,76.40,29.01,65.14,24.80,68.22,4.62,50.86,22.53,13.6,14.9
TF,24/02/2018,0,0,1,0,76.50,18.94,65.47,16.29,67.51,5.38,44.10,22.20,13.58,14.9
TFPM,10/10/2017,1,1,0,0,80.76,1.27,67.55,0.48,73.48,2.40,81.67,11.09,14.55,14.69
TFPM,10/10/2017,1,1,0,0,80.89,1.21,67.37,0.65,73.14,3.24,82.19,12.43,13.89,14.69
WFP,27/02/2018,1,1,0,0,76.21,0.52,64.48,1.59,67.12,6.29,44.10,20.21,13.3,14.92
WFP,27/02/2018,1,1,0,0,76.15,0.47,64.90,1.59,67.37,5.67,43.60,22.53,13.72,14.92
CRK,11/02/2018,1,1,0,0,78.86,1.88,65.33,0.86,69.38,3.62,59.14,19.52,13.34,14.81
CTL,04/09/2017,0,1,0,0,81.03,1.32,67.45,0.61,73.71,3.14,83.13,12.16,14.19,15.21
CTL,04/09/2017,0,0,1,0,81.14,1.09,67.39,0.65,73.92,3.11,82.65,11.91,14.18,15.21
TFPM,10/10/2017,1,1,0,0,80.89,1.21,67.37,0.65,73.14,3.24,82.19,12.43,14.83,14.69
TFPM,10/10/2017,1,1,0,0,80.77,1.39,67.47,0.64,73.01,2.92,82.81,11.72,14.33,14.69
TFPM,10/10/2017,1,1,0,0,80.58,1.48,67.54,0.59,72.57,2.79,84.63,10.68,13.8,14.69
TFPM,10/10/2017,1,1,0,0,80.09,23.56,67.63,19.86,72.19,2.71,85.48,10.00,14.7,14.69
WFP,27/02/2018,1,1,0,0,76.15,0.47,64.90,1.59,67.37,5.67,43.60,22.53,13.5,14.92
CRK,12/02/2018,1,1,0,0,78.51,1.61,65.08,0.93,69.05,3.53,59.86,20.09,12.82,14.84
CTL,09/09/2017,1,1,0,0,81.00,0.86,67.26,0.73,74.17,2.75,82.05,11.23,14.3,15.22
CTL,09/09/2017,1,1,0,0,81.23,0.97,67.25,0.67,74.69,3.07,80.48,11.93,13.68,15.22
TFPM,11/10/2017,1,1,0,0,79.97,25.18,67.64,21.26,71.97,2.70,86.11,9.66,15.49,14.59
TFPM,11/10/2017,1,1,0,0,79.79,23.48,67.65,19.87,71.95,2.61,85.29,10.16,14.23,14.59
TFPM,11/10/2017,1,0,1,0,79.66,22.07,67.40,18.65,71.84,2.69,84.07,11.56,14.08,14.59
WFP,28/02/2018,1,1,0,0,76.10,0.40,65.33,1.46,67.62,4.95,43.10,24.62,13.55,15.21
CRK,13/02/2018,1,1,0,0,77.67,1.30,66.04,1.31,69.02,3.98,62.33,20.91,13.55,14.82
CRK,13/02/2018,1,1,0,0,77.49,1.28,65.88,1.42,68.41,4.20,59.00,22.15,13.65,14.82
CTL,11/09/2017,1,0,0,1,80.47,19.34,66.68,16.04,72.92,3.35,79.35,12.22,13.84,14.99
CTL,11/09/2017,1,0,0,1,80.48,18.93,66.72,15.70,72.91,3.34,79.64,12.25,13.31,14.99
TFPM,12/10/2017,1,1,0,0,79.44,23.37,67.44,19.82,71.70,2.44,84.27,11.22,13.15,14.38
TFPM,12/10/2017,1,0,1,0,79.24,20.80,67.11,17.62,71.55,2.69,81.41,13.81,14.33,14.38
WFP,28/02/2018,1,1,0,0,76.10,0.40,65.33,1.46,67.62,4.95,43.10,24.62,13.89,15.23
WFP,28/02/2018,1,1,0,0,76.50,0.90,65.60,1.75,67.40,5.17,42.24,22.77,13.75,15.23
CRK,13/02/2018,0,1,0,0,77.49,1.28,65.88,1.42,68.41,4.20,59.00,22.15,12.89,14.76
CRK,13/02/2018,0,0,0,1,79.24,13.71,66.19,11.39,71.94,5.62,55.44,21.75,13.45,14.76
CTL,05/10/2017,1,0,1,0,80.49,1.25,67.47,0.67,73.26,2.80,84.18,10.95,12.66,15.02
CTL,05/10/2017,1,0,1,0,80.52,1.28,67.50,0.66,73.14,2.81,84.38,10.67,14.28,15.02
TFPM,18/10/2017,1,1,0,0,78.67,1.03,65.99,1.52,71.04,3.26,72.79,16.88,15.36,14.42
TFPM,18/10/2017,1,1,0,0,79.03,1.29,66.29,1.47,71.35,3.24,72.71,15.58,13.79,14.42
WFP,28/02/2018,1,1,0,0,76.50,0.90,65.60,1.75,67.40,5.17,42.24,22.77,13.99,15.25
CRK,14/02/2018,1,1,0,0,77.18,1.16,66.15,1.41,68.35,4.38,59.41,22.04,12.94,14.67
CRK,14/02/2018,1,1,0,0,77.14,1.06,66.14,1.44,68.01,4.42,57.64,22.83,13.14,14.67
CTL,12/10/2017,0,1,0,0,80.38,1.61,67.65,0.51,72.19,2.36,86.25,8.98,14.02,14.98
CTL,12/10/2017,0,0,1,0,79.33,19.84,67.12,16.79,71.62,2.73,80.51,13.81,14.7,14.98
CTL,12/10/2017,0,0,1,0,79.05,18.17,66.74,15.36,71.27,3.08,78.29,15.47,13.55,14.98
CTL,12/10/2017,0,0,0,1,78.57,17.09,66.52,14.50,70.64,3.03,77.78,14.32,14.01,14.98
TFPM,20/10/2017,1,0,0,1,78.20,15.46,66.33,13.16,70.29,3.25,75.25,13.78,14.57,14.75
TFPM,20/10/2017,1,0,0,1,78.21,15.24,66.30,12.97,70.27,3.32,75.12,13.89,14.14,14.75
TFPM,20/10/2017,1,0,0,1,78.20,15.03,66.26,12.79,70.26,3.33,74.92,14.11,13.66,14.75
TFPM,20/10/2017,1,0,0,1,78.21,14.84,66.23,12.61,70.24,3.32,74.79,14.16,13.93,14.75
WFP,01/03/2018,1,1,0,0,76.90,1.07,65.86,1.96,67.19,5.37,41.38,20.73,13.86,15.29
CRK,17/02/2018,1,1,0,0,77.01,0.67,66.12,1.52,66.98,4.37,52.33,24.28,12.87,14.8
CRK,17/02/2018,1,1,0,0,76.91,0.74,65.67,1.47,67.06,4.98,51.64,23.53,12.66,14.8
CTL,06/11/2017,0,1,0,0,77.71,0.80,67.58,1.09,69.95,2.74,84.05,11.95,13.87,14.8
CTL,06/11/2017,0,1,0,0,77.77,0.80,67.21,1.47,69.63,2.92,80.69,14.06,13.69,14.8
CTL,06/11/2017,0,0,1,0,77.49,1.25,66.62,1.72,69.24,3.39,76.97,13.37,14.02,14.8
TFPM,22/11/2017,1,1,0,0,78.24,1.37,65.29,1.24,69.64,5.05,70.81,16.47,13.55,14.31
TFPM,22/11/2017,1,1,0,0,78.17,1.43,65.07,1.19,69.79,4.42,69.40,17.86,13.4,14.31
CRK,17/02/2018,1,1,0,0,76.91,0.74,65.67,1.47,67.06,4.98,51.64,23.53,12.72,14.78
CRK,17/02/2018,1,1,0,0,76.94,0.78,65.64,1.51,67.27,5.06,51.16,24.12,12.47,14.78
CTL,14/11/2017,1,1,0,0,78.45,1.35,67.48,0.98,71.08,2.34,74.76,10.50,14.27,14.71
CTL,14/11/2017,1,1,0,0,78.71,1.29,67.30,1.15,71.44,2.40,74.41,10.22,13.67,14.71
CTL,14/11/2017,1,1,0,0,78.81,1.25,67.38,1.03,71.45,2.34,75.11,10.43,13.3,14.71
TFPM,23/11/2017,0,1,0,0,78.31,1.51,65.07,1.04,69.83,3.29,69.19,17.20,13.22,14.42
TFPM,23/11/2017,0,0,1,0,77.60,1.24,65.94,1.85,69.15,3.25,74.49,15.29,13.73,14.42
WFP,01/03/2018,1,1,0,0,76.78,1.00,66.24,1.79,67.08,5.55,39.21,19.87,13.47,15.27
CRK,17/02/2018,1,1,0,0,76.94,0.78,65.64,1.51,67.27,5.06,51.16,24.12,12.54,14.77
CRK,17/02/2018,1,1,0,0,76.91,0.76,65.91,1.53,67.38,4.90,50.38,22.90,12.37,14.77
CTL,15/11/2017,0,1,0,0,79.21,1.13,67.21,1.13,71.67,2.46,74.71,10.87,13.94,14.71
CTL,15/11/2017,0,0,0,1,78.15,15.23,66.47,13.04,70.21,3.35,75.24,14.24,13.65,14.71
TFPM,30/11/2017,1,1,0,0,77.46,0.94,69.17,2.13,69.36,2.39,89.86,6.73,14.21,15.3
TFPM,30/11/2017,1,1,0,0,77.03,0.85,69.67,1.92,68.73,2.18,88.67,6.37,13.87,15.3
TFPM,30/11/2017,1,1,0,0,78.01,26.57,67.97,23.21,68.03,2.34,83.20,8.69,14.43,15.3
WFP,02/03/2018,1,1,0,0,76.65,0.91,66.62,1.52,66.98,5.72,37.05,18.71,13.99,15.21
WFP,02/03/2018,1,1,0,0,76.79,1.00,66.26,1.50,66.73,5.96,35.81,18.60,14.47,15.21
CRK,18/02/2018,1,1,0,0,76.84,0.80,66.17,1.51,67.43,4.97,48.74,22.07,12.66,14.72
CTL,30/11/2017,1,1,0,0,77.37,1.07,68.69,2.31,68.08,2.12,85.46,7.64,14.36,14.69
WFP,02/03/2018,1,1,0,0,76.79,1.00,66.26,1.50,66.73,5.96,35.81,18.60,13.41,15.23
WFP,02/03/2018,1,1,0,0,76.84,0.97,66.18,1.71,66.90,5.94,35.38,18.79,14.32,15.23
CRK,18/02/2018,1,1,0,0,76.84,0.80,66.17,1.51,67.43,4.97,48.74,22.07,12.58,14.82
CRK,18/02/2018,1,1,0,0,76.91,0.88,66.16,1.52,67.54,4.92,47.47,21.54,12.67,14.82
CTL,02/12/2017,1,1,0,0,78.77,23.17,65.55,19.29,67.56,3.82,74.14,16.30,14.57,14.5
CTL,02/12/2017,1,0,1,0,78.91,19.78,65.70,16.49,67.31,3.98,69.99,17.81,14.33,14.5
CTL,08/12/2017,1,1,0,0,79.21,1.55,65.66,1.46,66.89,4.52,61.50,18.93,13.81,14.71
WFP,03/03/2018,1,1,0,0,76.98,0.96,66.25,1.67,66.80,5.89,34.60,19.77,14.82,15.26
WFP,03/03/2018,1,1,0,0,76.99,0.98,66.37,1.62,67.14,5.83,36.43,20.34,13.99,15.26
CRK,22/02/2018,1,1,0,0,77.02,0.97,65.89,1.46,67.15,5.07,42.07,18.61,13.3,15.48
CRK,22/02/2018,1,1,0,0,76.93,0.90,65.88,1.54,67.62,4.89,46.37,20.59,13.18,15.48
CTL,12/12/2017,0,1,0,0,78.93,1.32,65.08,1.45,69.37,3.18,73.43,14.45,12.9,14.71
CTL,12/12/2017,0,1,0,0,78.39,1.43,65.10,1.34,69.01,3.29,71.95,16.17,12.91,14.71
CTL,12/12/2017,0,0,1,0,78.24,20.53,65.31,17.15,67.18,4.25,69.14,16.52,13.12,14.71
CRK,23/02/2018,1,1,0,0,76.53,25.83,65.28,22.09,67.75,4.87,48.58,22.02,13.31,15.57
CTL,13/12/2017,1,0,1,0,78.11,21.62,65.29,18.09,66.90,4.29,68.79,16.71,12.71,14.63
CTL,13/12/2017,1,0,1,0,78.20,20.52,65.35,17.16,66.97,4.26,68.21,16.97,13.03,14.63
CRK,24/02/2018,1,1,0,0,76.34,25.76,64.95,21.98,67.95,5.11,49.17,22.17,13.49,15.46
CTL,14/12/2017,1,0,1,0,78.14,21.63,65.43,18.12,66.67,4.28,67.36,17.10,12.9,14.61
CTL,14/12/2017,1,0,1,0,78.17,20.51,65.49,17.19,66.74,4.21,67.13,17.61,12.95,14.61
CRK,26/02/2018,0,1,0,0,76.18,0.49,64.88,1.87,67.37,5.64,44.93,21.67,13.12,15.61
CRK,26/02/2018,0,1,0,0,76.15,0.46,65.03,1.75,67.45,5.42,44.32,22.71,13.2,15.61
CTL,15/12/2017,1,0,1,0,78.29,21.68,65.54,18.15,66.54,4.26,66.90,17.44,12.97,14.65
CTL,15/12/2017,1,0,1,0,78.32,20.55,65.46,17.19,66.38,4.31,66.80,17.41,13.4,14.65
CRK,27/02/2018,1,1,0,0,76.15,0.47,64.90,1.59,67.37,5.67,43.60,22.53,13.33,15.6
CRK,27/02/2018,1,1,0,0,76.40,0.81,65.22,1.78,67.31,5.57,42.86,21.97,13.73,15.6
CTL,22/12/2017,1,1,0,0,78.47,1.45,65.40,1.26,66.18,4.21,65.64,19.27,12.99,14.8
CTL,22/12/2017,1,1,0,0,78.52,1.25,65.78,1.51,65.90,4.15,66.30,20.44,12.81,14.8
CRK,27/02/2018,1,1,0,0,76.40,0.81,65.22,1.78,67.31,5.57,42.86,21.97,13.75,15.63
CTL,23/12/2017,0,1,0,0,78.55,1.11,65.75,1.61,65.57,4.23,66.56,20.26,13.21,14.65
CTL,23/12/2017,0,1,0,0,78.42,1.16,65.81,1.62,65.29,4.31,66.03,20.33,12.99,14.65
CTL,23/12/2017,0,1,0,0,80.96,33.25,65.57,1.65,64.72,4.53,65.15,20.10,13.2,14.65
CTL,23/12/2017,0,0,1,0,80.51,31.13,65.74,1.65,64.79,4.43,65.57,20.06,13.48,14.65
YTMZ,07/09/2017,0,0,1,0,81.51,0.96,67.14,0.93,74.55,3.38,79.87,13.05,13.57,15.29
YTMZ,07/09/2017,0,0,1,0,81.52,0.94,67.07,0.91,74.34,3.35,80.04,12.67,13.79,15.29
YTMZ,07/09/2017,0,0,0,1,80.86,15.65,66.76,12.93,73.08,3.53,79.16,12.26,13.69,15.29
CTL,01/01/2018,1,0,1,0,78.80,1.50,66.16,1.42,65.83,4.73,62.48,16.24,13.22,14.69
CTL,01/01/2018,1,0,1,0,78.76,1.49,66.15,1.41,66.13,4.78,62.42,15.92,13.09,14.69
CRK,02/03/2018,1,1,0,0,76.79,1.00,66.26,1.50,66.73,5.96,35.81,18.60,14.28,15.77
CRK,02/03/2018,1,1,0,0,76.79,1.00,66.26,1.50,66.73,5.96,35.81,18.60,13.8,15.78
CRK,02/03/2018,1,0,0,1,80.43,16.60,66.31,13.66,73.80,4.84,61.58,20.47,14.24,15.78
YTMZ,25/09/2017,0,1,0,0,80.20,1.32,67.16,0.98,72.52,2.42,81.48,9.89,13.72,15.25
YTMZ,25/09/2017,0,0,1,0,79.81,27.16,67.35,22.91,72.85,2.85,81.79,11.12,14.03,15.25
CRK,03/03/2018,1,1,0,0,76.83,0.98,65.83,1.64,66.83,6.01,34.55,18.05,13.92,15.65
CRK,03/03/2018,1,1,0,0,76.91,0.98,66.03,1.75,66.88,6.01,34.83,18.78,13.57,15.65
CRK,04/03/2018,1,1,0,0,76.89,0.94,66.10,1.90,67.08,5.91,34.95,18.97,13.78,15.67
CRK,04/03/2018,1,1,0,0,76.99,0.92,66.37,1.73,66.91,5.78,34.60,20.21,13.78,15.67
YTMZ,05/10/2017,0,0,1,0,80.49,1.25,67.47,0.67,73.26,2.80,84.18,10.95,13.84,15.39
YTMZ,05/10/2017,0,0,1,0,80.45,1.33,67.51,0.64,72.99,2.78,84.81,10.54,13.81,15.39
YTMZ,05/10/2017,0,0,1,0,80.19,18.42,67.56,15.49,72.70,2.78,85.28,10.16,14.31,15.39
YTMZ,05/10/2017,0,0,0,1,79.43,17.59,66.80,14.80,71.74,3.21,78.64,14.52,14.91,15.39
CRK,05/03/2018,1,1,0,0,77.12,0.99,66.84,1.41,67.39,5.83,37.81,20.20,13.42,15.63
YTMZ,14/10/2017,1,0,0,1,78.81,21.23,66.41,17.92,71.01,3.17,75.61,15.35,14.28,15.29
YTMZ,14/10/2017,1,0,0,1,78.74,20.66,66.36,17.44,70.85,3.20,75.51,15.10,13.79,15.29
YTMZ,17/10/2017,0,1,0,0,79.00,1.23,66.57,1.45,71.43,3.03,74.24,15.18,14.06,15.28
YTMZ,17/10/2017,0,0,1,0,78.89,1.38,66.13,1.57,71.16,3.37,73.41,15.90,13.59,15.28
YTMZ,17/10/2017,0,0,0,1,78.71,16.27,66.12,13.71,70.75,3.36,73.01,14.96,13.83,15.28
YTMZ,25/10/2017,0,1,0,0,78.80,23.17,66.19,19.48,70.50,3.33,74.27,13.06,13.83,15.04
YTMZ,25/10/2017,0,0,1,0,78.39,20.58,65.92,17.32,70.17,3.19,74.69,12.83,13.74,15.04
YTMZ,25/10/2017,0,0,1,0,78.38,18.75,65.90,15.79,70.10,3.03,75.26,12.67,13.89,15.04
YTMZ,25/10/2017,0,0,1,0,78.21,17.30,66.26,14.70,70.08,2.91,77.17,12.86,14.47,15.04
YTMZ,02/11/2017,1,1,0,0,77.79,0.91,66.55,1.73,69.78,2.26,80.18,12.29,14.34,15.1
YTMZ,02/11/2017,1,1,0,0,77.76,0.89,66.79,1.67,69.75,2.31,81.40,12.29,14.03,15.1
YTMZ,02/11/2017,1,1,0,0,77.79,0.91,66.79,1.66,69.77,2.40,80.86,12.56,13.99,15.1
YTMZ,02/11/2017,1,0,1,0,77.81,0.90,66.70,1.70,69.63,2.55,79.58,13.34,14.03,15.1
YTMZ,07/11/2017,1,1,0,0,77.21,1.16,66.18,1.81,68.55,3.48,76.16,14.02,14.64,15.11
YTMZ,07/11/2017,1,0,1,0,77.26,1.12,66.40,1.79,68.83,3.39,76.18,13.49,14.22,15.11
YTMZ,08/11/2017,1,1,0,0,77.21,1.16,66.17,1.80,68.71,3.48,74.56,13.11,14.67,15.12
YTMZ,08/11/2017,1,0,1,0,77.47,1.36,66.28,1.76,69.05,3.52,74.39,12.95,14.61,15.12
YTMZ,08/11/2017,1,0,1,0,77.66,1.44,66.35,1.73,69.39,3.55,74.32,12.62,14.84,15.12
YTMZ,15/11/2017,1,1,0,0,79.08,23.24,66.75,19.64,71.81,2.58,74.99,12.52,14.43,14.81
YTMZ,15/11/2017,1,0,1,0,78.97,21.86,66.55,18.45,71.54,3.09,74.46,13.15,13.91,14.81
YTMZ,15/11/2017,1,0,1,0,78.86,20.69,66.35,17.44,71.36,3.20,73.75,14.08,13.43,14.81
YTMZ,15/11/2017,1,0,1,0,78.83,19.70,66.23,16.59,71.20,3.20,73.41,14.21,14.19,14.81
YTMZ,21/11/2017,0,0,1,0,77.91,1.40,65.50,1.26,69.43,3.60,72.53,14.85,13.99,14.74
YTMZ,21/11/2017,0,0,1,0,77.86,1.37,65.87,1.76,69.42,3.50,74.27,15.17,14.14,14.74
YTMZ,21/11/2017,0,0,1,0,77.94,16.66,66.30,14.26,68.93,3.28,76.34,13.96,14.03,14.74
YTMZ,21/11/2017,0,0,0,1,78.03,16.15,66.22,13.79,68.90,3.25,76.54,13.95,13.89,14.74
SFM,31/05/2017,1,1,0,0,80.54,1.50,67.04,1.18,73.36,3.55,70.71,12.41,14.2,14.85
TF,24/04/2018,1,0,0,1,81.31,16.80,66.34,13.73,75.04,3.96,64.43,17.43,13.84,14.79
TF,24/04/2018,1,0,0,1,81.26,16.28,66.34,13.32,75.07,3.92,64.37,17.32,14.09,14.79
SFM,31/05/2017,1,1,0,0,81.21,1.51,66.67,1.13,75.13,3.71,68.02,12.06,13.68,14.75
SFM,31/05/2017,1,1,0,0,81.26,1.57,66.50,1.14,74.95,3.94,68.15,12.27,13.68,14.75
SFM,31/05/2017,1,1,0,0,81.29,1.46,66.60,1.10,74.81,3.88,69.39,12.83,13.87,14.75
YTMZ,05/12/2017,0,0,1,0,78.77,1.47,65.33,1.31,67.74,4.26,67.70,18.56,13.89,14.38
YTMZ,05/12/2017,0,0,1,0,78.58,16.82,65.33,14.00,67.32,4.29,67.66,17.91,13.48,14.38
YTMZ,05/12/2017,0,0,0,1,78.55,16.27,65.37,13.55,67.27,4.31,67.75,17.79,13.23,14.38
YTMZ,12/12/2017,1,1,0,0,78.93,1.32,65.08,1.45,69.37,3.18,73.43,14.45,13.17,14.14
YTMZ,12/12/2017,1,1,0,0,78.39,1.43,65.10,1.34,69.01,3.29,71.95,16.17,13.14,14.14
SFM,31/05/2017,1,0,1,0,80.77,1.56,66.53,1.17,73.80,3.74,73.68,13.34,13.57,14.76
SFM,09/06/2017,1,1,0,0,79.92,1.20,65.46,1.16,71.52,2.61,81.64,9.13,13.79,14.51
YTMZ,15/12/2017,1,1,0,0,78.16,24.59,65.43,20.60,66.26,4.38,67.73,16.50,13.7,14.17
YTMZ,15/12/2017,1,1,0,0,78.27,23.01,65.48,19.26,66.44,4.34,67.13,16.83,13.43,14.17
SFM,10/06/2017,1,1,0,0,80.16,1.09,64.97,0.84,71.31,2.61,82.10,8.09,14.26,14.42
SFM,10/06/2017,1,1,0,0,80.21,1.25,64.56,0.88,71.60,2.71,79.24,9.65,13.03,14.42
YTMZ,21/12/2017,1,1,0,0,78.62,1.50,65.82,0.86,67.38,3.74,64.40,19.77,13.88,14.42
